fullid,id,county_name,white,black,native_american_alaskan,asian,pacific_islander,other_race,hispanic_latino,totalpopulation
0500000US01001,01001,"Autauga County, Alabama",78.7,19.3,0.9,1.4,0.2,1.5,2.6,55049
0500000US01003,01003,"Baldwin County, Alabama",88.1,9.9,1.4,1.3,0,1.3,4.4,199510
0500000US01005,01005,"Barbour County, Alabama",47.2,48.2,0.4,0.6,0,4.2,4.3,26614
0500000US01007,01007,"Bibb County, Alabama",78.3,22.3,0.7,0.1,0,0,2.2,22572
0500000US01009,01009,"Blount County, Alabama",97,2,1.2,0.5,0.1,0.9,8.7,57704
0500000US01011,01011,"Bullock County, Alabama",22.9,75.5,1.9,0.8,0,0,0.1,10552
0500000US01013,01013,"Butler County, Alabama",54.8,44.5,0.6,1.2,0,0.2,1.2,20280
0500000US01015,01015,"Calhoun County, Alabama",77,21.8,1.2,1.3,0.1,1.2,3.4,115883
0500000US01017,01017,"Chambers County, Alabama",58.2,41.3,0.5,1,0,0.2,0.4,34018
0500000US01019,01019,"Cherokee County, Alabama",94.3,5,1.3,0.4,0,0,1.6,25897
0500000US01021,01021,"Chilton County, Alabama",84.8,10.6,0.9,0.5,0,4.3,7.6,43817
0500000US01023,01023,"Choctaw County, Alabama",57.2,43.2,0.7,0.1,0,0,0.6,13287
0500000US01025,01025,"Clarke County, Alabama",53.7,46,0.2,0.5,0.1,0,0.2,24847
0500000US01027,01027,"Clay County, Alabama",83.7,15.4,1.1,0.1,0,0.6,3.1,13483
0500000US01029,01029,"Cleburne County, Alabama",96.3,3.6,0.9,0.6,0,0.6,2.3,14991
0500000US01031,01031,"Coffee County, Alabama",79.3,18.5,2.4,2.1,0.1,1.1,6.6,50991
0500000US01033,01033,"Colbert County, Alabama",81.9,17,1.3,0.8,0.1,1.4,2.4,54377
0500000US01035,01035,"Conecuh County, Alabama",52.6,47.2,1.3,0.1,0.3,0,1.8,12697
0500000US01037,01037,"Coosa County, Alabama",67.6,33.5,0.2,0,0,0,1.3,10864
0500000US01039,01039,"Covington County, Alabama",85.6,13.3,1.1,0.6,0.1,0.4,1.5,37729
0500000US01041,01041,"Crenshaw County, Alabama",72.2,24.6,1.1,1.7,0,1.3,1.7,13896
0500000US01043,01043,"Cullman County, Alabama",97,1.5,1.2,0.6,0,0.8,4.2,81316
0500000US01045,01045,"Dale County, Alabama",76.9,21.2,1.6,2,0.2,1.4,5.9,49607
